iter	Logloss
0	0.6730238267
1	0.6581852194
2	0.6427822683
3	0.6277218486
4	0.6124171172
5	0.5996025933
6	0.5889028511
7	0.5799304028
8	0.5723080933
9	0.5662510418
10	0.5606575578
11	0.5561874036
12	0.5524186575
13	0.5491624356
14	0.546593084
15	0.5432189177
16	0.5400671069
17	0.5377773634
18	0.5353480287
19	0.5314059977
20	0.5301713532
21	0.5285510748
22	0.5270013807
23	0.5255902951
24	0.52440049
25	0.5231572391
26	0.5219760556
27	0.5209606815
28	0.5199171176
29	0.5190592109
30	0.5183388829
31	0.5175104116
32	0.5167838467
33	0.515984057
34	0.5153361534
35	0.5147999655
36	0.5122064235
37	0.5104420576
38	0.5098818777
39	0.5092925493
40	0.5076589905
41	0.507121601
42	0.5067136995
43	0.5062338784
44	0.5058914962
45	0.5054335154
46	0.5051072594
47	0.5047522911
48	0.5042289739
49	0.5020960773
50	0.501082091
51	0.5010601173
52	0.499139161
53	0.4986384463
54	0.4983692352
55	0.4980165164
56	0.4971454812
57	0.4969180771
58	0.4966046402
59	0.4963822581
60	0.4961579486
61	0.4958913019
62	0.4956046408
63	0.4955749115
64	0.4953515397
65	0.4950801127
66	0.4949010058
67	0.494228244
68	0.4939234684
69	0.4925588629
70	0.4923819688
71	0.4916831305
72	0.4910870186
73	0.4909765304
74	0.4907502967
75	0.4905977358
76	0.4904925694
77	0.4903742072
78	0.489648276
79	0.4895353453
80	0.4890025041
81	0.4887725633
82	0.4886215752
83	0.4884609633
84	0.4883486412
85	0.4877208846
86	0.4876997408
87	0.487561365
88	0.4875338198
89	0.4874621306
90	0.4869516998
91	0.4868640816
92	0.4867214976
93	0.486492536
94	0.4864405138
95	0.4863653238
96	0.4858480387
97	0.4857053427
98	0.4856423301
99	0.4855549673
100	0.485245535
101	0.4852192893
102	0.4850320884
103	0.4847957085
104	0.4847111574
105	0.4845514251
106	0.4843470407
107	0.4843030669
108	0.4837364806
109	0.4836091802
110	0.4834075065
111	0.4832715555
112	0.483236422
113	0.4830482577
114	0.4830036281
115	0.4828645814
116	0.4828161024
117	0.482816014
118	0.4828144025
119	0.4827259577
120	0.4826417548
121	0.4826287231
122	0.4825390432
123	0.482401685
124	0.4820707964
125	0.4818473789
126	0.4816331427
127	0.4813961452
128	0.4811373298
129	0.4810200011
130	0.4809976363
131	0.4808692172
132	0.4808164404
133	0.4806752838
134	0.4806480947
135	0.480598344
136	0.4805455404
137	0.4795408425
138	0.4795011147
139	0.4788316901
140	0.4786090614
141	0.4780478524
142	0.4775939133
143	0.4774344323
144	0.4773437914
145	0.4772640749
146	0.4772085343
147	0.4769721187
148	0.4768614839
149	0.4768148532
150	0.4767918266
151	0.4766648754
152	0.4764933698
153	0.4762576521
154	0.4758612695
155	0.4756813943
156	0.4755356759
157	0.475348099
158	0.4747073417
159	0.4746342072
160	0.4744249888
161	0.4742941925
162	0.4740144732
163	0.4739448783
164	0.4738583124
165	0.4737848481
166	0.4736099041
167	0.4735665697
168	0.4734818291
169	0.47335484
170	0.4732230376
171	0.4731106298
172	0.4730890337
173	0.4729844801
174	0.4728805914
175	0.4727707009
176	0.472548951
177	0.4725183541
178	0.4723580882
179	0.4722964
180	0.472181863
181	0.4721510793
182	0.4720240923
183	0.4719258235
184	0.4718891289
185	0.4717854809
186	0.4717695683
187	0.471407798
188	0.4713005379
189	0.4710488646
190	0.4708661792
191	0.4708560098
192	0.470783033
193	0.470664687
194	0.4705848222
195	0.470476716
196	0.4704165361
197	0.4701457775
198	0.4700460132
199	0.4695455028
200	0.4693643933
201	0.4693110813
202	0.4691848352
203	0.4690235414
204	0.4688428498
205	0.4687093865
206	0.468579073
207	0.4685563224
208	0.4684686709
209	0.4683730351
210	0.4682491996
211	0.4680775569
212	0.4679453705
213	0.4677970798
214	0.4677049075
215	0.4675856235
216	0.4675811935
217	0.4674194853
218	0.4671194988
219	0.4670308387
220	0.4669470536
221	0.4669142876
222	0.4667301581
223	0.4667239019
224	0.4665192998
225	0.4664636231
226	0.4664277336
227	0.4662888602
228	0.4660858792
229	0.46596866
230	0.4658014866
231	0.4657958217
232	0.4656177911
233	0.4655889822
234	0.4654506177
235	0.4654361687
236	0.4653371828
237	0.4653352567
238	0.4653304298
239	0.4650963246
240	0.4650935761
241	0.4647766998
242	0.4645171391
243	0.4645122074
244	0.4644617764
245	0.4644046204
246	0.4642116364
247	0.4641967788
248	0.4641252119
249	0.4640683538
250	0.4638903384
251	0.4638062848
252	0.4637662484
253	0.463706375
254	0.4635746809
255	0.4634685494
256	0.463360036
257	0.4633206294
258	0.4633155703
259	0.4633105854
260	0.4633087343
261	0.4632684664
262	0.4632199757
263	0.4632166035
264	0.4630965435
265	0.4629975617
266	0.4629183854
267	0.4628204978
268	0.4626749692
269	0.4625361997
270	0.4624287845
271	0.4623414828
272	0.4622493089
273	0.4621420794
274	0.4621073011
275	0.4619754688
276	0.4618628921
277	0.4617651556
278	0.4616257473
279	0.4616118153
280	0.4615198037
281	0.4614698019
282	0.4614373665
283	0.4610737015
284	0.4610468123
