iter	Passed	Remaining
0	105	56053
1	158	42007
2	241	42445
3	320	42194
4	408	42940
5	501	43920
6	582	43638
7	668	43671
8	752	43619
9	838	43669
10	918	43426
11	994	43018
12	1084	43205
13	1170	43227
14	1260	43345
15	1361	43823
16	1438	43493
17	1519	43305
18	1594	42967
19	1693	43277
20	1756	42666
21	1833	42421
22	1934	42736
23	2022	42717
24	2108	42667
25	2190	42540
26	2271	42404
27	2363	42454
28	2444	42315
29	2528	42219
30	2618	42226
31	2708	42235
32	2792	42147
33	2888	42221
34	2975	42170
35	3046	41884
36	3127	41753
37	3209	41644
38	3295	41574
39	3380	41492
40	3465	41417
41	3550	41340
42	3642	41337
43	3727	41252
44	3811	41167
45	3902	41140
46	3991	41104
47	4081	41069
48	4165	40971
49	4256	40943
50	4339	40837
51	4366	40219
52	4460	40227
53	4551	40206
54	4833	41830
55	4926	41788
56	5012	41679
57	5098	41579
58	5186	41494
59	5281	41460
60	5376	41427
61	5459	41299
62	5550	41234
63	5593	40811
64	5697	40849
65	5783	40747
66	5877	40702
67	5968	40641
68	6053	40533
69	6140	40440
70	6229	40359
71	6312	40242
72	6409	40214
73	6461	39906
74	6542	39776
75	6634	39719
76	6719	39620
77	6807	39535
78	6882	39375
79	6972	39307
80	7049	39161
81	7141	39101
82	7228	39017
83	7304	38870
84	7388	38770
85	7466	38637
86	7524	38399
87	7612	38323
88	7701	38246
89	7784	38144
90	7870	38054
91	7964	38005
92	8059	37958
93	8148	37879
94	8232	37782
95	8330	37747
96	8420	37673
97	8510	37601
98	8602	37539
99	8703	37511
100	8806	37491
101	8895	37411
102	8987	37344
103	9170	37651
104	9329	37849
105	9430	37811
106	9518	37716
107	9623	37693
108	9726	37657
109	9832	37631
110	9925	37554
111	10026	37511
112	10117	37425
113	10204	37327
114	10305	37278
115	10402	37214
116	10500	37155
117	10540	36890
118	10596	36687
119	10707	36673
120	10797	36588
121	10878	36468
122	10986	36442
123	11084	36381
124	11186	36332
125	11283	36269
126	11390	36235
127	11489	36174
128	11591	36121
129	11692	36067
130	11789	35999
131	11875	35894
132	11975	35835
133	12066	35749
134	12158	35663
135	12409	36042
136	12495	35936
137	12605	35897
138	12711	35848
139	12808	35771
140	12904	35693
141	13021	35670
142	13113	35581
143	13204	35486
144	13323	35466
145	13420	35389
146	13517	35310
147	13600	35196
148	13708	35144
149	13806	35067
150	13910	35005
151	14019	34956
152	14109	34859
153	14191	34740
154	14286	34655
155	14368	34539
156	14460	34447
157	14558	34368
158	14657	34293
159	14738	34174
160	14833	34089
161	14922	33991
162	15014	33898
163	15108	33810
164	15206	33729
165	15304	33652
166	15394	33554
167	15501	33495
168	15604	33425
169	15696	33332
170	15786	33235
171	15881	33148
172	15968	33044
173	16062	32956
174	16157	32868
175	16244	32766
176	16326	32652
177	16422	32569
178	16512	32472
179	16608	32386
180	16697	32288
181	16789	32195
182	16881	32102
183	16977	32017
184	17058	31904
185	17138	31789
186	17224	31685
187	17319	31598
188	17402	31491
189	17490	31391
190	17581	31296
191	17657	31176
192	17748	31082
193	17828	30969
194	17919	30876
195	18018	30796
196	18105	30696
197	18204	30617
198	18290	30515
199	18396	30445
200	18494	30363
201	18591	30280
202	18685	30190
203	18782	30107
204	18874	30014
205	18966	29922
206	19053	29822
207	19147	29733
208	19243	29648
209	19342	29566
210	19433	29472
211	19533	29392
212	19624	29298
213	19713	29202
214	19805	29109
215	19898	29018
216	19984	28917
217	20073	28821
218	20173	28739
219	20273	28659
220	20370	28573
221	20466	28487
222	20622	28482
223	20718	28395
224	20822	28318
225	20923	28237
226	21017	28146
227	21107	28050
228	21198	27956
229	21295	27869
230	21395	27786
231	21486	27691
232	21586	27607
233	21683	27521
234	21783	27437
235	21876	27345
236	21970	27255
237	22075	27176
238	22172	27089
239	22259	26989
240	22351	26896
241	22445	26804
242	22550	26726
243	22647	26638
244	22748	26555
245	22837	26458
246	22939	26375
247	23029	26279
248	23129	26194
249	23227	26107
250	23324	26018
251	23431	25941
252	23526	25850
253	23626	25765
254	23720	25673
255	23813	25580
256	23911	25492
257	24007	25403
258	24090	25299
259	24176	25198
260	24263	25100
261	24353	25004
262	24450	24915
263	24537	24815
264	24625	24718
265	24711	24619
266	24814	24535
267	24905	24440
268	25004	24353
269	25095	24259
270	25192	24169
271	25281	24073
272	25373	23979
273	25467	23887
274	25557	23791
275	25655	23703
276	25749	23611
277	25841	23517
278	25941	23430
279	26027	23331
280	26119	23237
281	26219	23150
282	26305	23052
283	26383	22946
284	26476	22853
